fold,model_name,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_f1_c1,eval_f1_c234,eval_f1_c5,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,Itau-Unibanco/NorBERTo-base,1.071323699951172,5.115591526031494,1.4039800995024878e-05,0.597237775289287,600,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0731707763671876,5.086738109588623,1.3542288557213932e-05,0.6470075898967277,650,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0704156494140624,3.8126204013824463,1.3044776119402987e-05,0.6967774045041683,700,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0414646911621093,6.032424449920654,1.254726368159204e-05,0.7465472191116088,750,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.048355712890625,6.952088832855225,1.2049751243781095e-05,0.7963170337190494,800,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0592111206054688,3.5170578956604004,1.155223880597015e-05,0.84608684832649,850,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0430331420898438,7.39654541015625,1.1054726368159203e-05,0.8958566629339306,900,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0785337829589845,2.989516496658325,1.055721393034826e-05,0.9456264775413712,950,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.028334197998047,3.348684549331665,1.0059701492537317e-05,0.9953962921488118,1000,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,,,,1.0,1005,1.036683201789856,0.4630505100771336,0.452412845746087,0.5104391648668106,0.325290437890974,0.5215089344804765,89.4911,44.909,22.46,,,,,
0,Itau-Unibanco/NorBERTo-base,1.004377670288086,5.917768478393555,9.562189054726368e-06,1.0447928331466965,1050,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0048919677734376,2.6440205574035645,9.064676616915425e-06,1.094562647754137,1100,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0037200927734375,3.707494735717773,8.567164179104478e-06,1.1443324623615778,1150,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9783853912353516,4.143203258514404,8.069651741293533e-06,1.1941022769690184,1200,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.013150177001953,4.715072154998779,7.5721393034825875e-06,1.243872091576459,1250,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9858802795410156,5.464445114135742,7.074626865671642e-06,1.2936419061838995,1300,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0066398620605468,3.589913845062256,6.5771144278606965e-06,1.34341172079134,1350,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9623575592041016,3.4883487224578857,6.079601990049751e-06,1.3931815353987806,1400,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0060525512695313,4.213661670684815,5.582089552238806e-06,1.4429513500062212,1450,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9913467407226564,5.184469699859619,5.084577114427861e-06,1.4927211646136618,1500,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.960248565673828,3.586231231689453,4.587064676616916e-06,1.5424909792211023,1550,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9482193756103516,4.104094982147217,4.089552238805971e-06,1.592260793828543,1600,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9639544677734376,9.38178253173828,3.5920398009950253e-06,1.6420306084359837,1650,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9754666900634764,3.357105493545532,3.09452736318408e-06,1.691800423043424,1700,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9874148559570312,10.03886604309082,2.5970149253731342e-06,1.7415702376508646,1750,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9633042907714844,4.746532917022705,2.099502487562189e-06,1.7913400522583054,1800,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9627201080322264,3.873673915863037,1.601990049751244e-06,1.841109866865746,1850,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,0.9471640014648436,7.90028190612793,1.1044776119402989e-06,1.8908796814731863,1900,,,,,,,,,,,,,,
